16:24:34.663 565  [main] INFO  Es3.Main3 - 
16:26:00.513 650  [main] INFO  Es3.RegistroPresenze - 
16:26:57.651 459  [main] INFO  Es3.RegistroPresenze - 
16:27:59.627 568  [main] INFO  Es3.RegistroPresenze - 
16:29:47.290 481  [main] INFO  Es3.Main3 - mariello
16:31:31.652 649  [main] INFO  Es3.RegistroPresenze - 
16:32:52.159 471  [main] INFO  Es3.RegistroPresenze - 
16:33:35.237 459  [main] INFO  Es3.RegistroPresenze - Mariello Fantasmino@0#Mr. Craig@10#Cavallo Cavalli@100#
16:55:02.661 496  [main] INFO  Es3.RegistroPresenze - T
16:55:02.665 500  [main] INFO  Es3.RegistroPresenze - u
16:55:02.666 501  [main] INFO  Es3.RegistroPresenze - a
16:55:02.666 501  [main] INFO  Es3.RegistroPresenze -  
16:55:02.666 501  [main] INFO  Es3.RegistroPresenze - M
16:55:02.666 501  [main] INFO  Es3.RegistroPresenze - a
16:55:02.667 502  [main] INFO  Es3.RegistroPresenze - d
16:55:02.667 502  [main] INFO  Es3.RegistroPresenze - r
16:55:02.667 502  [main] INFO  Es3.RegistroPresenze - e
17:06:56.701 443  [main] INFO  Es3.RegistroPresenze - T
17:06:56.705 447  [main] INFO  Es3.RegistroPresenze - u
17:06:56.705 447  [main] INFO  Es3.RegistroPresenze - a
17:06:56.705 447  [main] INFO  Es3.RegistroPresenze -  
17:06:56.706 448  [main] INFO  Es3.RegistroPresenze - M
17:06:56.706 448  [main] INFO  Es3.RegistroPresenze - a
17:06:56.707 449  [main] INFO  Es3.RegistroPresenze - d
17:06:56.707 449  [main] INFO  Es3.RegistroPresenze - r
17:06:56.708 450  [main] INFO  Es3.RegistroPresenze - e
17:26:32.001 739  [main] INFO  Es3.RegistroPresenze - M
17:26:32.007 745  [main] INFO  Es3.RegistroPresenze - a
17:26:32.007 745  [main] INFO  Es3.RegistroPresenze - r
17:26:32.008 746  [main] INFO  Es3.RegistroPresenze - i
17:26:32.008 746  [main] INFO  Es3.RegistroPresenze - e
17:26:32.008 746  [main] INFO  Es3.RegistroPresenze - l
17:26:32.008 746  [main] INFO  Es3.RegistroPresenze - l
17:26:32.008 746  [main] INFO  Es3.RegistroPresenze - o
17:26:32.008 746  [main] INFO  Es3.RegistroPresenze -  
17:26:32.008 746  [main] INFO  Es3.RegistroPresenze - F
17:26:32.009 747  [main] INFO  Es3.RegistroPresenze - a
17:26:32.009 747  [main] INFO  Es3.RegistroPresenze - n
17:26:32.009 747  [main] INFO  Es3.RegistroPresenze - t
17:26:32.009 747  [main] INFO  Es3.RegistroPresenze - a
17:26:32.009 747  [main] INFO  Es3.RegistroPresenze - s
17:26:32.009 747  [main] INFO  Es3.RegistroPresenze - m
17:26:32.011 749  [main] INFO  Es3.RegistroPresenze - i
17:26:32.011 749  [main] INFO  Es3.RegistroPresenze - n
17:26:32.011 749  [main] INFO  Es3.RegistroPresenze - o
17:26:32.012 750  [main] INFO  Es3.RegistroPresenze - @
17:26:32.012 750  [main] INFO  Es3.RegistroPresenze - 0
17:26:32.012 750  [main] INFO  Es3.RegistroPresenze - #
17:26:32.012 750  [main] INFO  Es3.RegistroPresenze - M
17:26:32.012 750  [main] INFO  Es3.RegistroPresenze - r
17:26:32.012 750  [main] INFO  Es3.RegistroPresenze - .
17:26:32.012 750  [main] INFO  Es3.RegistroPresenze -  
17:26:32.012 750  [main] INFO  Es3.RegistroPresenze - C
17:26:32.012 750  [main] INFO  Es3.RegistroPresenze - r
17:26:32.013 751  [main] INFO  Es3.RegistroPresenze - a
17:26:32.013 751  [main] INFO  Es3.RegistroPresenze - i
17:26:32.013 751  [main] INFO  Es3.RegistroPresenze - g
17:26:32.013 751  [main] INFO  Es3.RegistroPresenze - @
17:26:32.013 751  [main] INFO  Es3.RegistroPresenze - 1
17:26:32.013 751  [main] INFO  Es3.RegistroPresenze - 0
17:26:32.013 751  [main] INFO  Es3.RegistroPresenze - #
17:26:32.017 755  [main] INFO  Es3.RegistroPresenze - C
17:26:32.017 755  [main] INFO  Es3.RegistroPresenze - a
17:26:32.017 755  [main] INFO  Es3.RegistroPresenze - v
17:26:32.017 755  [main] INFO  Es3.RegistroPresenze - a
17:26:32.017 755  [main] INFO  Es3.RegistroPresenze - l
17:26:32.019 757  [main] INFO  Es3.RegistroPresenze - l
17:26:32.020 758  [main] INFO  Es3.RegistroPresenze - o
17:26:32.020 758  [main] INFO  Es3.RegistroPresenze -  
17:26:32.020 758  [main] INFO  Es3.RegistroPresenze - C
17:26:32.020 758  [main] INFO  Es3.RegistroPresenze - a
17:26:32.020 758  [main] INFO  Es3.RegistroPresenze - v
17:26:32.020 758  [main] INFO  Es3.RegistroPresenze - a
17:26:32.021 759  [main] INFO  Es3.RegistroPresenze - l
17:26:32.021 759  [main] INFO  Es3.RegistroPresenze - l
17:26:32.021 759  [main] INFO  Es3.RegistroPresenze - i
17:26:32.021 759  [main] INFO  Es3.RegistroPresenze - @
17:26:32.021 759  [main] INFO  Es3.RegistroPresenze - 1
17:26:32.021 759  [main] INFO  Es3.RegistroPresenze - 0
